name,price,location,ac,air_panas,kamar_mandi_dalam,parkir,dispenser,kulkas,kursi,lemari,meja,parkir_mobil,ruang_tamu,shower,tv,wastafel,wifi,cctv,swimming_pool,kasur_bed_springbed,amenity_count,premium_count,amenity_density,has_private_bath_ac,luxury_score,is_luxury,location_tier,location_enc
Kost Tuban Kuta Area (Tipe B),2750000,badung,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,8,6,0.4444444444444444,1,4,1,2,1
Lempinis kost (Tipe B),700000,badung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,1
Kost Batas Kangin Bali,1800000,badung,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,13,7,0.7222222222222222,1,5,1,2,1
KoolKost @ Dharmawangsa Nusa Dua,1700000,badung,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6,4,0.3333333333333333,1,2,0,2,1
KOST BALI GILI RESIDENCE PELITA (Bangunan Baru),2300000,badung,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,11,6,0.6111111111111112,1,4,1,2,1
Kost Eksklusif near Pantai Balangan Bali,3500000,badung,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6,4,0.3333333333333333,1,2,0,2,1
Kost kos elite kuta tuban airport bali (Bangunan Baru),2050000,badung,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,14,7,0.7777777777777778,1,5,1,2,1
Kost Kusuma Tipe A2 Kuta Selatan Badung (Promo),2050000,badung,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,10,5,0.5555555555555556,1,3,0,2,1
Kost Matara Kuta Residence Kuta Badung,3000000,badung,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,12,6,0.6666666666666666,1,4,1,2,1
Kost Annapurna Bumbak Umalas Tipe A Kuta Utara Badung,3800000,badung,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,12,6,0.6666666666666666,1,4,1,2,1
Kost Geweka Guest House Executive Kuta Selatan Badung,4000000,badung,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,10,6,0.5555555555555556,1,4,1,2,1
Kost Rnc Stay Tipe A Kuta Selatan Badung,2500000,badung,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,12,7,0.6666666666666666,1,5,1,2,1
Kost Candra II Kuta Selatan Badung (Suite),2300000,badung,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,12,5,0.6666666666666666,1,3,0,2,1
Kost Bayint VVIP Kuta Selatan Badung,4500000,badung,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,15,7,0.8333333333333334,1,5,1,2,1
"Kost Elit, Nyaman di Nusadua & Jimbaran Area (Tipe B)",3550000,badung,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,11,6,0.6111111111111112,1,4,1,2,1
OYO 914 Batukaru Garden 5 Sevilla Residence,2300000,badung,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,7,4,0.3888888888888889,1,3,0,2,1
Kost Thalia Athena Seminyak (Suite),1800000,badung,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,9,8,0.5,1,6,1,2,1
Terima Kost,1100000,badung,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05555555555555555,0,0,0,2,1
kost di legian bali (belakang nightclub skygarden) mudah di,2500000,badung,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,9,4,0.5,1,2,0,2,1
Kost di Nusa Dua dekat STTp (Eksklusif),1000000,badung,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0.2222222222222222,0,1,0,2,1
Kos di Nusa Dua,2000000,badung,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,6,6,0.3333333333333333,1,4,1,2,1
Kost Exclusive Giri Puspa Lestari Jimbaran Kuta Selatan Badung,2300000,badung,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,10,6,0.5555555555555556,1,4,1,2,1
Kost Harian/bulan di Glogor Carik dekat Kuta (Bangunan Baru),2750000,badung,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,8,6,0.4444444444444444,1,4,1,2,1
Kost Candra II Kuta Selatan Badung (Bangunan Baru),2000000,badung,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,12,5,0.6666666666666666,1,3,0,2,1
kos single di jimbaran,1300000,badung,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,4,0.2777777777777778,1,2,0,2,1
kost di Jimbaran pondok giri,2500000,badung,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,8,6,0.4444444444444444,1,4,1,2,1
Kost Casa De Julia Deluve Kuta Utara Badung,2700000,badung,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,13,7,0.7222222222222222,1,5,1,2,1
Kost Komplit Atena Seminyak Bali,2800000,badung,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0.16666666666666666,1,2,0,2,1
Kost Gwendelyn Tipe C Kuta Selatan Badung,3000000,badung,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05555555555555555,0,0,0,2,1
Kost kosongan,1500000,badung,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0.16666666666666666,0,0,0,2,1
Kost Murah Jl Uluwatu Kuta Bali,1900000,badung,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,8,6,0.4444444444444444,1,4,1,2,1
G7 Residence (Bangunan Baru),1700000,badung,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0.16666666666666666,0,0,0,2,1
kost murah,3500000,badung,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6,4,0.3333333333333333,1,3,0,2,1
Kost Puri Mumbul Permai Tipe C Kuta Selatan Badung,3020000,badung,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05555555555555555,0,0,0,2,1
Sewa Kamar Kost Pondok Ari (Tipe B),1500000,badung,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.1111111111111111,0,0,0,2,1
Kost Pudi Homestay Kuta Utara Badung,3000000,badung,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,14,6,0.7777777777777778,0,4,1,2,1
Kost MS Guesthouse UNUD 1 VIP Kuta Selatan Badung (Eksklusif),2850000,badung,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,8,4,0.4444444444444444,1,2,0,2,1
Kost exclusive soul @ bali,1500000,badung,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,8,6,0.4444444444444444,1,5,1,2,1
Kost Murah Fasilitas Lengkap di Kuta Bali,3500000,badung,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,9,7,0.5,1,5,1,2,1
Jimbaran Lestari Residence (Promo),2300000,badung,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,9,7,0.5,1,5,1,2,1
Kost fasilitas lengkap (Bangunan Baru),1050000,badung,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,4,0.3333333333333333,1,2,0,2,1
Kost Griya Sunset 1 Tipe Bawah Kuta Badung,4000000,badung,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,10,6,0.5555555555555556,1,4,1,2,1
Kost Di Sidakarya Panjer,900000,badung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,1
KOST DI CANGGU DEKAT PANTAI (Serenity 2),5000000,badung,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,9,6,0.5,1,4,1,2,1
Kost Marvell Uluwatu Kuta Selatan Badung,2600000,badung,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,15,7,0.8333333333333334,1,5,1,2,1
Kost Mari Living Kuta Selatan Bali,3000000,badung,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05555555555555555,0,0,0,2,1
Kost Tepi Sawah Golden House Vip Kuta Utara Badung (Eksklusif),3150000,badung,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,12,7,0.6666666666666666,1,5,1,2,1
Kost Pondok Adnyana 1 Tipe Queenbed Kuta Selatan Badung,2500000,badung,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05555555555555555,0,0,0,2,1
OYO 1372 Yandra Guest House (Eksklusif),1750000,badung,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,3,0.2777777777777778,1,2,0,2,1
Kost Nami Tipe A Kuta Selatan Badung,2000000,badung,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,6,3,0.3333333333333333,0,1,0,2,1
Kost Majapahit Kuta Badung (Tipe B),3850000,badung,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,10,6,0.5555555555555556,1,4,1,2,1
KOST BARU FASILITAS LENGKAP DEKAT MCD JIMBARAN,2500000,badung,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,11,7,0.6111111111111112,1,5,1,2,1
"Kost Pratama Benoa Nusa Dua - Standard, Superior, dan Deluxe",2000000,badung,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,8,5,0.4444444444444444,1,3,0,2,1
terima kos,1300000,badung,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0.2222222222222222,1,1,0,2,1
Kost W Padma 8 Standart Room Kuta Selatan Badung,2850000,badung,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,8,4,0.4444444444444444,1,2,0,2,1
OYO 672 Bali Radiance Canggu,2500000,badung,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,11,6,0.6111111111111112,1,4,1,2,1
Kost Arisma Non Mezanin Kuta Badung,2750000,badung,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,8,5,0.4444444444444444,1,3,0,2,1
kos glogor carig (Eksklusif),2200000,badung,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.1111111111111111,0,0,0,2,1
Kost The Aulia Stay Kuta Selatan Badung (Tipe B),2450000,badung,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,11,6,0.6111111111111112,1,4,1,2,1
Kost Isabella View Kuta Selatan Badung,1700000,badung,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,11,4,0.6111111111111112,1,2,0,2,1
Kos Efata seminyak sebelah warung Made seminyak Kuta,2000000,badung,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,3,0.3333333333333333,1,1,0,2,1
The Kost Free Wifi Full Furnished,1900000,badung,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,8,5,0.4444444444444444,1,3,0,2,1
Kost MD Living III Jimbaran Deluxe Room Kuta Selatan Badung (Tipe B),3350000,badung,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05555555555555555,0,0,0,2,1
The Vie Residence,1150000,badung,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,11,7,0.6111111111111112,1,5,1,2,1
OYO 1004 The Radiance Guesthouse,3000000,badung,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,7,4,0.3888888888888889,1,3,0,2,1
Kost DeKesambi [ VIP KOS ],3500000,badung,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,8,6,0.4444444444444444,1,4,1,2,1
"Kos murah & Elit di kampial dekat puja mandala, STP nusa",1150000,badung,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0.2777777777777778,1,2,0,2,1
Kost Teras Harta Kuta Utara Badung (Suite),2900000,badung,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,13,7,0.7222222222222222,1,5,1,2,1
Kost Candra Tipe A Kuta Selatan Badung,2000000,badung,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,9,4,0.5,1,2,0,2,1
Kost G7 Residence,2200000,badung,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,7,4,0.3888888888888889,1,3,0,2,1
Pondok Nauma II (Bangunan Baru),900000,badung,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.1111111111111111,1,1,0,2,1
Kost Canina Living Kuta Utara Badung (Promo),4800000,badung,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,14,7,0.7777777777777778,1,5,1,2,1
Apartemen Kawaii di JIMBARAN - BALI,3500000,badung,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,10,5,0.5555555555555556,1,3,0,2,1
Kost Christine Tipe A Kuta Selatan Badung,2300000,badung,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,7,5,0.3888888888888889,1,3,0,2,1
Kost di Jimbaran (Kencana Residence),4000000,badung,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,10,6,0.5555555555555556,1,4,1,2,1
Saren Guesthouse Canggu Bali - Kost Exclusive Area Canggu Ba,5500000,badung,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,8,5,0.4444444444444444,1,4,1,2,1
Kost Pondok Eddy Tipe A Kuta Utara Badung,4200000,badung,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05555555555555555,0,0,0,2,1
Kost- Kostan dengan fasilitas Hotel di Kuta,3000000,badung,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,15,8,0.8333333333333334,1,6,1,2,1
DIsewakan Kos 2 kamar 1 rumah (Tipe B),5550000,badung,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,6,3,0.3333333333333333,1,2,0,2,1
Kost Uluwatu Stay Deluxe Room Kuta Selatan Badung,3000000,badung,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,10,6,0.5555555555555556,1,4,1,2,1
Kost Jt Tipe Premium Kuta Selatan Badung,3400000,badung,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,9,5,0.5,1,3,0,2,1
Kost Wika House Tipe A Kuta Selatan Badung,3000000,badung,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,10,5,0.5555555555555556,1,3,0,2,1
Kost Melati VIP Kuta Utara Badung,2200000,badung,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,12,7,0.6666666666666666,1,5,1,2,1
Gusti Hostel,2500000,badung,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,10,7,0.5555555555555556,1,5,1,2,1
Kost Kubu Anyar Kuta Badung,1000000,badung,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,5,0,0.2777777777777778,0,0,0,2,1
Kost Jimbaran 48 Daily Weekly Kuta Selatan Badung,3000000,badung,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,14,7,0.7777777777777778,1,5,1,2,1
Kost 36 Home Tipe E Kuta Selatan Badung,2200000,badung,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,13,6,0.7222222222222222,1,4,1,2,1
Kost Melasti Cozy Tipe A Kuta Badung,4000000,badung,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,13,7,0.7222222222222222,1,5,1,2,1
"Kost Elit, Nyaman di Nusadua & Jimbaran Area (Promo)",2850000,badung,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,11,6,0.6111111111111112,1,4,1,2,1
Kost The W Sandat Standart Kuta Selatan Badung (Bangunan Baru),2350000,badung,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,8,4,0.4444444444444444,1,2,0,2,1
Kost Bunisari 7 Kuta Badung,2502500,badung,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,11,6,0.6111111111111112,1,4,1,2,1
OYO 636 Apartmen Kak Okoh,2200000,badung,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,11,6,0.6111111111111112,1,4,1,2,1
Kost Murah Fasilitas Lengkap di Dewi Sri Kuta Bali (Eksklusif),4350000,badung,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,10,7,0.5555555555555556,1,5,1,2,1
Kost Uluwatu Stay 2BR Family Room Kuta Selatan Badung (Bangunan Baru),3600000,badung,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,10,6,0.5555555555555556,1,4,1,2,1
Kost Pondok Saraswati Kuta Selatan Badung,2750000,badung,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,14,7,0.7777777777777778,1,5,1,2,1
Kost Bulanan The Legian 777,2700000,badung,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,9,6,0.5,1,4,1,2,1
Rukita Sunset Road Coliving - Kost Coliving Ekslusif di Kuta,4500000,badung,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,10,6,0.5555555555555556,1,4,1,2,1
RUMAH 2 KAMAR Jimbaran,5000000,badung,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,7,4,0.3888888888888889,1,3,0,2,1
Kost Arsawastu Residence Standard Kuta Utara Badung,5500000,badung,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,7,4,0.3888888888888889,1,3,0,2,1
Kost Kuta Griya Permai,2000000,badung,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,10,7,0.5555555555555556,1,5,1,2,1
Kost Ratu Seminyak (Tipe B),1950000,badung,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,8,7,0.4444444444444444,1,5,1,2,1
Kost Ratu Seminyak (Suite),1650000,badung,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,8,7,0.4444444444444444,1,5,1,2,1
KOST Dewi Nusa Dua,1200000,badung,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,5,2,0.2777777777777778,0,1,0,2,1
Kost Baru Kemuning Homey,2500000,badung,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,13,6,0.7222222222222222,1,4,1,2,1
Kost MD Living III Jimbaran Superior Kuta Selatan Badung,3300000,badung,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,7,4,0.3888888888888889,1,2,0,2,1
Sunrise Homestay,3000000,badung,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,11,7,0.6111111111111112,1,5,1,2,1
Ruma kos,2000000,badung,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0.16666666666666666,0,0,0,2,1
Kost Feldo Residence Tipe A Kuta Badung,2700000,badung,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,12,7,0.6666666666666666,1,5,1,2,1
Umah Santi Residence Ungasan,3500000,badung,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,8,5,0.4444444444444444,1,3,0,2,1
Hopy House at Bhineka Jati Jaya 1 (Promo),2750000,badung,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,8,6,0.4444444444444444,1,4,1,2,1
kost elite bypass jimbaran- Nusa Dua,2000000,badung,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0.16666666666666666,0,0,0,2,1
